Product Name,Price,Category,ImageURL,PageURL
Vuse go 700 berry blend 10 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/60a39a3afde6217a31ae0f5b/7bcd6888-c5a6-11ee-ad01-6eebe28f4f80_frame_3265__14_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 blueberry ice 20 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/60a39a3afde6217a31ae0f5b/d92f596e-c5a6-11ee-859e-ea26ccc15bd8_frame_3265__16_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 peppermint ice 0 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/60a39a3afde6217a31ae0f5b/474c80c0-c5a7-11ee-b0f7-7eb268e2b5e1_frame_3094.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 peppermint ice 20 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/60a39a3afde6217a31ae0f5b/f506925a-c5a7-11ee-8c68-a2211aab4680_frame_3265__18_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 strawberry ice 10 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/60a39a3afde6217a31ae0f5b/511799ae-c5a8-11ee-8b91-260ceead2db6_frame_3265__19_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 watermelon ice 20 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/60a39a3afde6217a31ae0f5b/b3aac636-c5a8-11ee-a28c-367195a6454e_frame_3265__20_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 800 berry watermelon 20 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/shared/38f4a1cc-49bb-11ef-a63f-5a0194ddfdd2_frame_13586__17_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 banana ice 20 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/shared/ae86abce-49bb-11ef-b960-7a07b47aece9_frame_13586__18_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 berry fizz 20 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/shared/d42700a4-49bb-11ef-9734-5a0194ddfdd2_frame_13586__19_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 creamy tobacco 20 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/shared/ea4d7bc4-49bb-11ef-9045-5a0194ddfdd2_f4500ba2_49b9_11ef_b3af_362a984b7672_frame_13586__10_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Vuse go 700 berry watermelon 20 mg,"5,50 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/shared/2ce5f998-49bc-11ef-97af-eafafb937ead_5b6d588a_49ba_11ef_9e02_3283d3e5f29f_frame_13586__12_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
Geek bar e-600 jagoda-kiwi 20 mg,"5,89 €",E-CIGARETE,https://imageproxy.wolt.com/menu/menu-images/shared/3d2c6bfc-49bc-11ef-b491-4ae2688712f7_88768932_49ba_11ef_b62f_f2900f76cd15_frame_13586__13_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/e-cigarete-2
