Product Name,Price,Category
Vuse go 700 berry blend 10 mg,"5,50 €",e cigarete 
Vuse go 700 blueberry ice 20 mg,"5,50 €",e cigarete 
Vuse go 700 peppermint ice 0 mg,"5,50 €",e cigarete 
Vuse go 700 peppermint ice 20 mg,"5,50 €",e cigarete 
Vuse go 700 strawberry ice 10 mg,"5,50 €",e cigarete 
Vuse go 700 watermelon ice 20 mg,"5,50 €",e cigarete 
Vuse go 800 berry watermelon 20 mg,"5,50 €",e cigarete 
Vuse go 700 banana ice 20 mg,"5,50 €",e cigarete 
Vuse go 700 berry fizz 20 mg,"5,50 €",e cigarete 
Vuse go 700 creamy tobacco 20 mg,"5,50 €",e cigarete 
Vuse go 700 berry watermelon 20 mg,"5,50 €",e cigarete 
Geek bar e-600 jagoda-kiwi 20 mg,"5,89 €",e cigarete 
Mestemacher Fitness kruh trajni 500g,"2,79 €",kruh i peciva 
Mestemacher kruh raženi 500 g,"2,72 €",kruh i peciva 
Encian Kruh 3 Vrste Žitarica 500g,"2,79 €",kruh i peciva 
Mestemacher Proteinski kruh 250g,"3,15 €",kruh i peciva 
Quickburry pecivo za hot dog 250 g,"1,99 €",kruh i peciva 
Quickbury pecivo hambi 300g,"2,07 €",kruh i peciva 
Panero polubijeli kruh narezan 500 g,"1,19 €",kruh i peciva 
Tortilja old el paso integralna 350 g,"3,62 €",tost i dvopek 
Klara dvopek iz cijelog zrna 225 g,"2,52 €",tost i dvopek 
Klara dvopek classic 225 g,"2,52 €",tost i dvopek 
Panero tost classic 500 g,"1,65 €",tost i dvopek 
Panero tost sa sjemenkama 500 g,"1,85 €",tost i dvopek 
Barilla kruh pan bauletto bianco rezani 400 g,"1,83 €",tost i dvopek 
Mulino bianco pan bauletto tost integralni 400 g,"1,83 €",tost i dvopek 
Mlinar dvopek classic 320 g,"2,52 €",tost i dvopek 
Mulino bianco granetti dvopek 280 g,"3,05 €",tost i dvopek 
Mlinar toast classic 400 g,"2,09 €",tost i dvopek 
Naturel dvopek mini classic 120 g,"1,59 €",tost i dvopek 
Panero dvopek klasik 330 g,"1,95 €",tost i dvopek 
Barilla kruh pan carré rezani za tost 285 g,"1,51 €",tost i dvopek 
Mlinar toast integralni 400 g,"2,12 €",tost i dvopek 
Quickbury sandwich toast 750 g,"3,15 €",tost i dvopek 
Naturel integralni mini dvopek 120 g,"1,59 €",tost i dvopek 
Žito zlati prepečenec dvopek klasik 330 g,"2,19 €",tost i dvopek 
Klara tost s integralnim brašnom 500 g,"2,42 €",tost i dvopek 
Klara tost 500 g,"2,42 €",tost i dvopek 
Mulino bianco dvopek integralni 315 g,"2,99 €",tost i dvopek 
Mulino bianco dvopek dorate 315 g,"2,92 €",tost i dvopek 
Zanuv tortilja 20 cm 8/1,"2,82 €",tost i dvopek 
7 days croissant super max double kakao vanilija 110 g,"1,42 €",kroasani i kolaci 
7 days croissant kakao vanilija 6x40 g,"3,22 €",kroasani i kolaci 
Bon gusto kroasan kakao 50g,"0,46 €",kroasani i kolaci 
7 days kroasan kakao 6x40 g,"3,22 €",kroasani i kolaci 
7 days kroasan mini s kakaom 60 g,"1,29 €",kroasani i kolaci 
7 days kroasan mini s kakaom i vanilijom 60 g,"1,29 €",kroasani i kolaci 
Balconi Kolač Rolada Rollinomilk 222 g,"2,62 €",kroasani i kolaci 
Vjenčići s voćnim namazom marelica 300 g,"3,22 €",kroasani i kolaci 
Kiflice oranž 225 g,"3,22 €",kroasani i kolaci 
Bon gusto kroasan kakao vanilija 50g,"0,46 €",kroasani i kolaci 
7 days croissant super max kakao 110 g,"1,49 €",kroasani i kolaci 
Chipita croissant 7 days midi double kakao i vanilija 60 g,"1,05 €",kroasani i kolaci 
Chipita 7days croissant lješnjak keks 60 g,"1,05 €",kroasani i kolaci 
Chipita croissant 7days midi kakao 60 g,"1,05 €",kroasani i kolaci 
Ekos cakes slatki vjenčić 500g,"3,29 €",kroasani i kolaci 
7 days kroasan s kakaom 185 g,"3,15 €",kroasani i kolaci 
Bon Gusto pita od višanja 420g,"5,05 €",kroasani i kolaci 
Bon Gusto mađarica 420g,"5,05 €",kroasani i kolaci 
Bon Gusto čupavci 480g,"5,99 €",kroasani i kolaci 
